timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1753455600000,0.1226400,0.1237900,0.1130000,0.1147400,224062518,1753457399999,26527130.1832500,127560,100485852,11903053.7390800,0
1753457400000,0.1147400,0.1155800,0.1075100,0.1140600,380111253,1753459199999,42190513.5569000,190935,194278657,21590570.9504300,0
1753459200000,0.1140400,0.1159300,0.1111200,0.1139700,227367900,1753460999999,25774789.0864900,120659,111355945,12629002.5558900,0
1753461000000,0.1139400,0.1176000,0.1114800,0.1167700,146380146,1753462799999,16712048.2282900,89452,77885824,8902864.5868700,0
1753462800000,0.1167800,0.1226800,0.1158700,0.1191000,316513521,1753464599999,38094547.8717600,183335,169423490,20394668.1437300,0
1753464600000,0.1191100,0.1196700,0.1168100,0.1180400,140326968,1753466399999,16564684.6398200,81183,67840958,8010446.3661300,0
1753466400000,0.1180500,0.1206100,0.1151800,0.1199400,145295200,1753468199999,17130194.2812300,86010,74118068,8746166.1495700,0
1753468200000,0.1199300,0.1251100,0.1197100,0.1234800,134479033,1753469999999,16476980.6801300,84166,68241398,8361410.9346800,0
1753470000000,0.1234800,0.1268000,0.1223000,0.1254500,150520775,1753471799999,18670276.0107500,87717,73104862,9079138.1524300,0
1753471800000,0.1254500,0.1297700,0.1253300,0.1272900,169410780,1753473599999,21609518.2187800,99582,88093122,11238180.1309400,0
1753473600000,0.1272900,0.1296500,0.1243100,0.1272500,144654395,1753475399999,18391364.9587300,86532,69844955,8882116.7140200,0
1753475400000,0.1272400,0.1288000,0.1247600,0.1276300,96421174,1753477199999,12217359.4835400,64278,45788197,5803572.7989000,0
1753477200000,0.1276600,0.1313400,0.1252200,0.1263300,150075303,1753478999999,19209748.0549900,86016,76829051,9836275.2205500,0
1753479000000,0.1263800,0.1284800,0.1248300,0.1257400,65631561,1753480799999,8312379.9520800,41269,31703195,4015028.6517500,0
1753480800000,0.1257300,0.1285600,0.1246600,0.1253400,86482038,1753482599999,10937015.8988200,57948,42543084,5381264.1223500,0
1753482600000,0.1253500,0.1268800,0.1245800,0.1262700,65140011,1753484399999,8172613.4541200,47255,32822084,4118369.7519600,0
1753484400000,0.1262600,0.1282200,0.1248000,0.1250900,79898427,1753486199999,10097069.7213000,50772,40689241,5140610.5113800,0
1753486200000,0.1250600,0.1255300,0.1219400,0.1245900,84455426,1753487999999,10447420.5872600,51500,37471670,4639328.9591900,0
1753488000000,0.1245800,0.1245800,0.1216500,0.1222300,82828592,1753489799999,10171085.7834500,54584,36409381,4472944.3291900,0
1753489800000,0.1222100,0.1228000,0.1207400,0.1213000,57295937,1753491599999,6973796.4532200,41256,26205370,3191224.5703100,0
1753491600000,0.1213200,0.1213200,0.1165600,0.1168900,107377984,1753493399999,12745906.2604500,62305,46053979,5465240.2810200,0
1753493400000,0.1169100,0.1182800,0.1164200,0.1167600,45878362,1753495199999,5375437.9117000,32859,24232395,2840565.3200300,0
